Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
City of Goodland,Goodland,KS,70215,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,1,DR,Demand Response,DO,1,0,,0,,0,,0,,"29,438",,"29,438",,0,
Macon Area Chamber of Commerce,Macon,MO,70257,Private-Non-Profit Corporation,Rural Reporter,2022,,,,1,DR,Demand Response,DO,1,0,,0,,0,,0,,"55,108",,"55,108",,0,
Taliaferro County Board of Commissioners,Crawfordville,GA,41046,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,"75,203",,"75,203",,0,
Lincoln County Public Transportation,Lincoln,KS,70087,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,"59,571",,"59,571",,0,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",DR,Demand Response,PT,824,"283,058,259",,"23,364,960",,"12,773,356",,"147,915,248",,0,,"467,111,823",,0,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",CB,Commuter Bus,DO,443,"162,560,783",,"46,719,003",,"15,960,518",,"35,751,557",,0,,"260,991,861",,0,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",RB,Bus Rapid Transit,DO,125,"65,024,314",,"18,687,600",,"6,384,208",,"14,300,623",,0,,"104,396,745",,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",MB,Bus,DO,"1,779","558,903,138",,"221,257,554",,"22,481,480",,"222,107,491",,0,,"1,024,749,663",,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",CR,Commuter Rail,DO,865,"583,078,620",,"303,995,081",,"175,937,697",,"207,796,377",,0,,"1,270,807,775",,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",DR,Demand Response,PT,340,"35,853,123",,"5,706,423",,"2,579,037",,"68,286,067",,0,,"112,424,650",,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",MB,Bus,PT,182,"24,842,693",,"10,501,076",,"2,531,075",,"25,587,571",,0,,"63,462,415",,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",VP,Vanpool,PT,50,"473,709",,"99,519",,"59,711",,"2,525,718",,0,,"3,158,657",,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",LR,Light Rail,PT,42,"46,917,653",,"10,198,018",,"21,682,655",,"20,497,869",,0,,"99,296,195",,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",YR,Hybrid Rail,PT,16,"11,851,898",,"9,420,962",,"8,039,973",,"5,549,327",,0,,"34,862,160",,0,
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",LR,Light Rail,DO,15,"10,634,891",,"4,138,580",,"8,434,050",,"4,384,207",,0,,"27,591,728",,0,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",MB,Bus,DO,"1,096","483,600,498",,"165,971,853",,"6,128,366",,"183,515,562",,0,,"839,216,279",,0,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",HR,Heavy Rail,DO,998,"424,843,329",,"156,702,810",,"274,162,416",,"366,252,130",,0,,"1,221,960,685",,0,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",DR,Demand Response,PT,662,"108,180,558",,"8,019,244",,"3,722,434",,"32,497,719",,0,,"152,419,955",,0,
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",MB,Bus,PT,51,"4,782,635",,"478,682",,"288,404",,"991,291",,0,,"6,541,012",,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",MB,Bus,DO,"1,421","573,655,282",,"233,649,669",,"46,176,562",,"239,355,199",,0,,"1,092,836,712",,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",VP,Vanpool,PT,673,"3,950,755",,"681,932",,"83,495",,"4,894,676",,0,,"9,610,858",,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",LR,Light Rail,DO,148,"188,477,050",,"67,950,077",,"64,227,282",,"90,106,782",,0,,"410,761,191",,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",MB,Bus,PT,109,"25,502,650",,"7,989,784",,"2,393,467",,"20,865,911",,0,,"56,751,812",,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",DR,Demand Response,DO,70,"19,288,474",,"1,483,044",,"484,260",,"3,807,722",,0,,"25,063,500",,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",HR,Heavy Rail,DO,64,"71,726,821",,"25,375,410",,"38,673,373",,"39,498,806",,0,,"175,274,410",,0,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",RB,Bus Rapid Transit,DO,24,"19,512,258",,"673,666",,"2,727,497",,"8,153,286",,0,,"31,066,707",,0,
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","2,180",MB,Bus,DO,"1,274","519,863,037",,"152,024,498",,"32,290,969",,"70,486,859",,0,,"774,665,363",,0,
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","2,180",HR,Heavy Rail,DO,906,"286,033,481",,"107,115,511",,"172,241,041",,"58,217,824",,0,,"623,607,857",,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",MB,Bus,DO,793,"348,422,619",,"119,940,710",,"39,075,748",,"146,722,357",,0,,"654,161,434",,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",VP,Vanpool,DO,745,"1,120,411",,"1,247,389",,"68,764",,"6,471,965",,0,,"8,908,529",,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",DR,Demand Response,PT,217,"34,849,284",,"3,443,223",,"297,951",,"16,158,524",,0,,"54,748,982",,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",TB,Trolleybus,DO,117,"43,509,997",,"10,808,783",,"11,746,250",,"18,133,907",,0,,"84,198,937",,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",DR,Demand Response,TX,94,"3,731,143",,"373,370",,"29,112",,"1,658,069",,0,,"5,791,694",,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",MB,Bus,PT,51,"9,801,666",,"2,196,101",,"840,824",,"4,652,975",,0,,"17,491,566",,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",SR,Streetcar Rail,DO,10,"6,033,952",,"1,976,510",,"1,229,244",,"3,271,931",,0,,"12,511,637",,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",FB,Ferryboat,DO,2,"3,901,843",,"1,525,363",,"114,173",,"3,358,280",,0,,"8,899,659",,0,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",CB,Commuter Bus,PT,0,0,,0,,0,,0,,0,,0,,"52,421,738",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",LR,Light Rail,PT,0,0,,0,,0,,0,,0,,0,,"80,571,413",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",MB,Bus,DO,653,"270,333,933",,"100,209,417",,"25,896,864",,"118,059,900",,0,,"514,500,114",,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",CR,Commuter Rail,PT,416,"210,156,173",,"131,535,820",,"26,951,076",,"105,704,177",,0,,"474,347,246",,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",DR,Demand Response,PT,372,"69,964,490",,"5,280,234",,"4,335,218",,"20,016,051",,0,,"99,595,993",,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",HR,Heavy Rail,DO,312,"121,165,488",,"74,168,390",,"93,397,640",,"45,024,917",,0,,"333,756,435",,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",LR,Light Rail,DO,124,"88,125,694",,"37,447,884",,"29,800,606",,"43,782,823",,0,,"199,157,007",,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",MB,Bus,PT,83,"9,526,855",,"3,717,204",,"1,779,381",,"2,817,567",,0,,"17,841,007",,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",RB,Bus Rapid Transit,DO,37,"21,041,304",,"5,280,967",,"4,869,700",,"9,132,564",,0,,"40,324,535",,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",TB,Trolleybus,DO,13,"9,483,775",,"3,407,990",,"1,447,304",,"4,031,525",,0,,"18,370,594",,0,
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",FB,Ferryboat,PT,8,"7,948,505",,"1,112,997",,"563,698",,"5,309,967",,0,,"14,935,167",,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",MB,Bus,DO,"1,089","372,858,331",,"122,161,912",,"77,081,883",,"120,139,424",,0,,"692,241,550",,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",CR,Commuter Rail,DO,277,"136,075,365",,"59,004,034",,"67,164,882",,"47,182,226",,0,,"309,426,507",,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",HR,Heavy Rail,DO,238,"83,824,560",,"51,970,237",,"50,317,410",,"26,135,512",,0,,"212,247,719",,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",DR,Demand Response,PT,234,"31,313,175",,"2,858,599",,"839,661",,"11,315,849",,0,,"46,327,284",,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",SR,Streetcar Rail,DO,92,"38,094,435",,"23,053,872",,"5,086,193",,"10,105,375",,0,,"76,339,875",,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",TB,Trolleybus,DO,29,"8,804,285",,"1,632,364",,"1,318,450",,"3,184,578",,0,,"14,939,677",,0,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",MB,Bus,PT,3,"501,422",,"67,854",,"27,839",,"232,171",,0,,"829,286",,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",MB,Bus,DO,627,"184,610,847",,"76,601,783",,"34,421,349",,"75,202,071",,0,,"370,836,050",,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",DR,Demand Response,PT,398,"52,814,245",,"6,196,540",,"7,360,205",,"32,718,819",,0,,"99,089,809",,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",DR,Demand Response,TX,150,"31,773,245",,"3,688,701",,"1,509,099",,"8,522,304",,0,,"45,493,349",,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",CR,Commuter Rail,PT,149,"70,502,775",,"32,327,531",,"32,372,583",,"32,027,403",,0,,"167,230,292",,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",CB,Commuter Bus,PT,88,"27,651,592",,"9,979,166",,"1,379,583",,"15,055,894",,0,,"54,066,235",,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",HR,Heavy Rail,DO,42,"17,521,784",,"21,615,139",,"19,073,612",,"17,779,759",,0,,"75,990,294",,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",LR,Light Rail,DO,17,"17,074,629",,"19,961,299",,"5,226,073",,"10,289,900",,0,,"52,551,901",,0,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",DR,Demand Response,DO,15,"741,066",,"69,597",,"1,280",,"200,153",,0,,"1,012,096",,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MB,Bus,DO,612,"236,817,394",,"100,405,077",,"16,720,383",,"46,692,928",,0,,"400,635,782",,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",DR,Demand Response,PT,332,"29,651,556",,"5,930,311",,"3,657,724",,"10,177,973",,0,,"49,417,564",,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",VP,Vanpool,PT,190,"366,195",,"60,863",,"11,277",,"753,539",,0,,"1,191,874",,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MB,Bus,PT,91,"6,926,235",,"2,950,705",,"553,867",,"1,342,495",,0,,"11,773,302",,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",HR,Heavy Rail,DO,84,"29,372,385",,"32,198,556",,"28,896,504",,"16,507,903",,0,,"106,975,348",,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MG,Monorail/Automated Guideway,DO,21,"4,352,561",,"14,284,354",,"7,753,631",,"4,138,337",,0,,"30,528,883",,0,
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",CB,Commuter Bus,PT,9,"1,761,673",,"751,148",,"142,367",,"371,023",,0,,"3,026,211",,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",MB,Bus,DO,450,"167,852,606",,"71,258,756",,"20,435,695",,"94,398,220",,0,,"353,945,277",,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",DR,Demand Response,PT,336,"46,284,588",,"6,064,099",,"2,093,782",,"19,918,802",,0,,"74,361,271",,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",VP,Vanpool,DO,197,"2,528,979",,474,,"358,795",,"1,019,532",,0,,"3,907,780",,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",MB,Bus,PT,133,"36,960,036",,"10,606,627",,"4,412,636",,"22,708,607",,0,,"74,687,906",,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",CB,Commuter Bus,DO,104,"14,582,770",,"10,059,679",,"4,528,230",,"6,221,856",,0,,"35,392,535",,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",CB,Commuter Bus,PT,54,"4,839,755",,"1,431,946",,"859,578",,"2,259,881",,0,,"9,391,160",,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",LR,Light Rail,DO,46,"40,166,410",,"16,377,527",,"17,053,480",,"28,447,360",,0,,"102,044,777",,0,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",RB,Bus Rapid Transit,DO,8,"3,290,778",,"888,574",,"276,304",,"1,031,468",,0,,"5,487,124",,0,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",CR,Commuter Rail,DO,"1,138","485,775,450",,"303,377,999",,"360,967,303",,"203,362,461",,0,,"1,353,483,213",,0,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",MB,Bus,PT,9,"2,220,499",,"132,896",,"123,072",,"305,334",,0,,"2,781,801",,0,
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",FB,Ferryboat,PT,2,"3,067,775",,"716,965",,"40,363",,"274,497",,0,,"4,099,600",,0,
MTA Bus Company,New York,NY,20188,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,134",MB,Bus,DO,"1,134","487,040,994",,"181,631,784",,"11,672,252",,"112,171,831",,0,,"792,516,861",,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",VP,Vanpool,DO,425,"1,386,294",,"5,395,020",,"2,575,615",,"11,142,556",,0,,"20,499,485",,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",MB,Bus,DO,300,"99,257,825",,"39,834,681",,"16,687,448",,"37,446,164",,0,,"193,226,118",,0,
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",DR,Demand Response,PT,87,"7,714,713",,"731,220",,"873,155",,"5,244,435",,0,,"14,563,523",,0,
